Bldg City,Bldg State,Bldg Status,Property Type,Total Parking Spaces,Owned/Leased
CLIFTON,NJ,ACTIVE,BUILDING,2,LEASED
NEWARK,NJ,ACTIVE,BUILDING,79,LEASED
SADDLE BROOK,NJ,ACTIVE,BUILDING,0,LEASED
PARAMUS,NJ,ACTIVE,BUILDING,69,LEASED
ELIZABETH,NJ,ACTIVE,BUILDING,0,LEASED
NEWARK,NJ,ACTIVE,BUILDING,164,LEASED
NEWARK,NJ,ACTIVE,BUILDING,175,LEASED
NEWARK,NJ,ACTIVE,STRUCTURE,23,LEASED
NEWARK,NJ,ACTIVE,BUILDING,400,LEASED
PARSIPPANY,NJ,ACTIVE,BUILDING,40,LEASED
EAST BRUNSWICK,NJ,ACTIVE,BUILDING,10,LEASED
ISELIN,NJ,ACTIVE,BUILDING,14,LEASED
FREEHOLD,NJ,ACTIVE,BUILDING,80,LEASED
NEWARK,NJ,ACTIVE,STRUCTURE,65,LEASED
NEWARK,NJ,ACTIVE,BUILDING,0,LEASED
ISELIN,NJ,ACTIVE,BUILDING,16,LEASED
MORRISTOWN,NJ,ACTIVE,BUILDING,79,LEASED
NEWARK,NJ,ACTIVE,BUILDING,0,LEASED
NEWARK,NJ,ACTIVE,BUILDING,0,LEASED
MORRISTOWN,NJ,ACTIVE,BUILDING,10,LEASED
NEPTUNE,NJ,ACTIVE,BUILDING,60,LEASED
HOBOKEN,NJ,ACTIVE,BUILDING,0,LEASED
FAIRFIELD,NJ,ACTIVE,BUILDING,0,LEASED
HACKENSACK,NJ,ACTIVE,BUILDING,0,LEASED
JERSEY CITY,NJ,ACTIVE,BUILDING,25,LEASED
MIDDLETOWN,NJ,ACTIVE,BUILDING,48,LEASED
NEWARK,NJ,ACTIVE,STRUCTURE,45,LEASED
WEST ORANGE,NJ,ACTIVE,STRUCTURE,0,LEASED
NEW BRUNSWICK,NJ,ACTIVE,BUILDING,48,LEASED
NEWARK,NJ,ACTIVE,BUILDING,0,LEASED
UNION,NJ,ACTIVE,BUILDING,71,LEASED
WEST PATERSON,NJ,ACTIVE,BUILDING,127,LEASED
PRINCETON MEADOWS,NJ,ACTIVE,BUILDING,8,LEASED
NEWARK,NJ,ACTIVE,STRUCTURE,0,LEASED
LINDEN,NJ,ACTIVE,BUILDING,20,LEASED
NEWARK,NJ,ACTIVE,STRUCTURE,64,LEASED
JERSEY CITY,NJ,ACTIVE,BUILDING,2,LEASED
DAYTON,NJ,ACTIVE,BUILDING,0,LEASED
EAST BRUNSWICK,NJ,ACTIVE,BUILDING,49,LEASED
ISELIN,NJ,ACTIVE,BUILDING,0,LEASED
NEWARK,NJ,ACTIVE,STRUCTURE,30,LEASED
FORT LEE,NJ,ACTIVE,BUILDING,165,LEASED
EDISON,NJ,ACTIVE,BUILDING,7,LEASED
NEWARK,NJ,ACTIVE,BUILDING,12,LEASED
EAST ORANGE,NJ,ACTIVE,BUILDING,30,LEASED
LINDEN,NJ,ACTIVE,BUILDING,45,LEASED
ALBANY,NY,ACTIVE,BUILDING,46,OWNED
BINGHAMTON,NY,ACTIVE,BUILDING,25,OWNED
BUFFALO,NY,EXCESS,BUILDING,0,OWNED
FORT COVINGTON,NY,ACTIVE,BUILDING,0,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,31,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,23,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,10,OWNED
ROUSES POINT,NY,ACTIVE,BUILDING,7,OWNED
ROUSES POINT,NY,ACTIVE,BUILDING,0,OWNED
NEW YORK-RICHMOND,NY,ACTIVE,BUILDING,8,LEASED
TROUT RIVER,NY,ACTIVE,BUILDING,0,OWNED
UTICA,NY,ACTIVE,BUILDING,34,OWNED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,16,OWNED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,OWNED
SYRACUSE,NY,ACTIVE,BUILDING,155,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,297,OWNED
ALBANY,NY,ACTIVE,BUILDING,206,OWNED
ROCHESTER,NY,ACTIVE,BUILDING,182,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,139,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,6,OWNED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,25,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,44,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,161,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,225,OWNED
WHITE PLAINS,NY,ACTIVE,BUILDING,120,OWNED
ALEXANDRIA BAY,NY,ACTIVE,BUILDING,0,OWNED
CENTRAL ISLIP,NY,ACTIVE,BUILDING,803,OWNED
CHAMPLAIN,NY,ACTIVE,BUILDING,0,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,6,OWNED
BUFFALO,NY,ACTIVE,BUILDING,54,OWNED
CENTRAL ISLIP,NY,ACTIVE,BUILDING,0,OWNED
CHAMPLAIN,NY,ACTIVE,STRUCTURE,0,OWNED
MASSENA,NY,ACTIVE,BUILDING,0,OWNED
HOLTSVILLE,NY,ACTIVE,BUILDING,2306,OWNED
ALEXANDRIA BAY,NY,ACTIVE,BUILDING,0,OWNED
CHAMPLAIN,NY,ACTIVE,BUILDING,0,OWNED
CHAMPLAIN,NY,ACTIVE,BUILDING,0,OWNED
CHAMPLAIN,NY,ACTIVE,BUILDING,0,OWNED
CHAMPLAIN,NY,ACTIVE,BUILDING,0,OWNED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,228,OWNED
CHATEAUGAY,NY,ACTIVE,BUILDING,0,OWNED
MASSENA,NY,ACTIVE,BUILDING,0,OWNED
MASSENA,NY,ACTIVE,BUILDING,0,OWNED
MASSENA,NY,ACTIVE,BUILDING,0,OWNED
CHAMPLAIN,NY,ACTIVE,BUILDING,0,OWNED
CHAMPLAIN,NY,ACTIVE,BUILDING,0,OWNED
BINGHAMTON,NY,EXCESS,BUILDING,0,OWNED
BINGHAMTON,NY,EXCESS,BUILDING,0,OWNED
BINGHAMTON,NY,EXCESS,BUILDING,0,OWNED
BINGHAMTON,NY,EXCESS,BUILDING,0,OWNED
ALEXANDRIA BAY,NY,ACTIVE,BUILDING,0,OWNED
ALEXANDRIA BAY,NY,ACTIVE,BUILDING,0,OWNED
CHATEAUGAY,NY,ACTIVE,BUILDING,0,OWNED
MOOERS,NY,ACTIVE,BUILDING,0,OWNED
MOOERS,NY,DECOMMISSIONED,BUILDING,0,OWNED
MOOERS,NY,DECOMMISSIONED,BUILDING,0,OWNED
OGDENSBURG,NY,ACTIVE,BUILDING,0,OWNED
OGDENSBURG,NY,ACTIVE,BUILDING,0,OWNED
OGDENSBURG,NY,ACTIVE,BUILDING,39,OWNED
SCHENECTADY,NY,EXCESS,BUILDING,0,OWNED
SCHENECTADY,NY,EXCESS,BUILDING,0,OWNED
SCHENECTADY,NY,EXCESS,BUILDING,0,OWNED
SCHENECTADY,NY,ACTIVE,BUILDING,0,OWNED
SCHENECTADY,NY,ACTIVE,BUILDING,0,OWNED
SCHENECTADY,NY,ACTIVE,BUILDING,5,OWNED
SCHENECTADY,NY,ACTIVE,BUILDING,0,OWNED
SCHENECTADY,NY,ACTIVE,BUILDING,0,OWNED
SCHENECTADY,NY,ACTIVE,BUILDING,0,OWNED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,STRUCTURE,4,LEASED
BUFFALO,NY,ACTIVE,BUILDING,42,LEASED
NIAGARA FALLS,NY,ACTIVE,BUILDING,0,LEASED
LEWISTON,NY,ACTIVE,BUILDING,16,LEASED
PATCHOGUE,NY,ACTIVE,BUILDING,99,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,6,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,3,LEASED
MELVILLE,NY,ACTIVE,BUILDING,10,LEASED
GLOVERSVILLE,NY,ACTIVE,BUILDING,21,LEASED
ELMIRA,NY,ACTIVE,BUILDING,0,LEASED
ELMIRA,NY,ACTIVE,BUILDING,2,LEASED
CORNING,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
RIVERHEAD,NY,ACTIVE,BUILDING,0,LEASED
HUDSON,NY,ACTIVE,BUILDING,25,LEASED
OSWEGO,NY,ACTIVE,BUILDING,16,LEASED
UTICA,NY,ACTIVE,STRUCTURE,79,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-RICHMOND,NY,ACTIVE,BUILDING,13,LEASED
MELVILLE,NY,ACTIVE,BUILDING,154,LEASED
WESTBURY,NY,ACTIVE,BUILDING,3,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,8,LEASED
BUFFALO,NY,ACTIVE,BUILDING,6,LEASED
GARDEN CITY,NY,ACTIVE,BUILDING,40,LEASED
BOHEMIA,NY,ACTIVE,BUILDING,50,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,14,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,600,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,112,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
TARRYTOWN,NY,ACTIVE,BUILDING,0,LEASED
CHEEKTOWAGA,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
CLIFTON PARK,NY,ACTIVE,BUILDING,0,LEASED
ALBANY,NY,ACTIVE,BUILDING,29,LEASED
ALBANY,NY,ACTIVE,BUILDING,1,LEASED
ITHACA,NY,ACTIVE,BUILDING,5,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,0,LEASED
CORTLAND,NY,ACTIVE,BUILDING,36,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,607,LEASED
SENECA FALLS,NY,ACTIVE,BUILDING,10,LEASED
POTSDAM,NY,ACTIVE,BUILDING,0,LEASED
EAST HAMPTON,NY,ACTIVE,BUILDING,2,LEASED
KINGSTON,NY,ACTIVE,BUILDING,0,LEASED
NEWBURGH,NY,ACTIVE,BUILDING,50,LEASED
BUFFALO,NY,ACTIVE,BUILDING,1,LEASED
WESTBURY,NY,ACTIVE,BUILDING,7,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,76,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
POUGHKEEPSIE,NY,ACTIVE,BUILDING,18,LEASED
AMHERST,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,204,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
ONEONTA,NY,ACTIVE,BUILDING,16,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,51,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,8,LEASED
BUFFALO,NY,ACTIVE,BUILDING,11,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,43,LEASED
PEEKSKILL,NY,ACTIVE,BUILDING,0,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,21,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,46,LEASED
RENSSELAER,NY,ACTIVE,BUILDING,0,LEASED
NEW WINDSOR,NY,ACTIVE,BUILDING,100,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,6,LEASED
QUEENSBURY,NY,ACTIVE,BUILDING,25,LEASED
VALLEY STREAM,NY,ACTIVE,BUILDING,32,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,58,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,0,LEASED
ALBANY,NY,ACTIVE,BUILDING,0,LEASED
MELVILLE,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,132,LEASED
JERICHO,NY,ACTIVE,BUILDING,0,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,12,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,2,LEASED
BATAVIA,NY,ACTIVE,BUILDING,0,LEASED
ALBANY,NY,ACTIVE,BUILDING,14,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,25,LEASED
MANLIUS,NY,ACTIVE,BUILDING,3,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,116,LEASED
ALBANY,NY,ACTIVE,BUILDING,0,LEASED
HAUPPAUGE,NY,ACTIVE,BUILDING,20,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,3,LEASED
BUFFALO,NY,ACTIVE,BUILDING,16,LEASED
ALBANY,NY,ACTIVE,STRUCTURE,0,LEASED
NIAGARA FALLS,NY,ACTIVE,BUILDING,92,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,0,LEASED
TROY,NY,ACTIVE,BUILDING,0,LEASED
BATAVIA,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,21,LEASED
ALBANY,NY,ACTIVE,BUILDING,230,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,815,LEASED
AMHERST,NY,ACTIVE,BUILDING,2,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,10,LEASED
BUFFALO,NY,ACTIVE,BUILDING,50,LEASED
ELMIRA,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
UTICA,NY,ACTIVE,BUILDING,12,LEASED
LATHAM,NY,ACTIVE,BUILDING,21,LEASED
NEW YORK-RICHMOND,NY,ACTIVE,BUILDING,16,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,250,LEASED
NEW YORK-BRONX,NY,ACTIVE,STRUCTURE,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
HOLTSVILLE,NY,ACTIVE,BUILDING,25,LEASED
ALBANY,NY,ACTIVE,BUILDING,4,LEASED
YONKERS,NY,ACTIVE,BUILDING,20,LEASED
GENEVA,NY,ACTIVE,BUILDING,10,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,20,LEASED
HOLTSVILLE,NY,ACTIVE,BUILDING,778,LEASED
NEW ROCHELLE,NY,ACTIVE,BUILDING,22,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,40,LEASED
MINEOLA,NY,ACTIVE,BUILDING,90,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,55,LEASED
NEW YORK-RICHMOND,NY,ACTIVE,BUILDING,34,LEASED
CORAM,NY,ACTIVE,BUILDING,0,LEASED
ALBANY,NY,ACTIVE,BUILDING,19,LEASED
GENEVA,NY,ACTIVE,BUILDING,55,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,2,LEASED
WEST NYACK,NY,ACTIVE,BUILDING,0,LEASED
MELVILLE,NY,ACTIVE,BUILDING,11,LEASED
BUFFALO,NY,ACTIVE,BUILDING,36,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,13,LEASED
NIAGARA FALLS,NY,ACTIVE,BUILDING,0,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,6,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,81,LEASED
LATHAM,NY,ACTIVE,BUILDING,74,LEASED
DUNKIRK,NY,ACTIVE,BUILDING,11,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
UTICA,NY,ACTIVE,LAND,0,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,13,LEASED
EAST SYRACUSE,NY,ACTIVE,BUILDING,1,LEASED
OLEAN,NY,ACTIVE,BUILDING,50,LEASED
JAMESTOWN,NY,ACTIVE,BUILDING,0,LEASED
WEST BABYLON,NY,ACTIVE,BUILDING,0,LEASED
MELVILLE,NY,ACTIVE,BUILDING,22,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,35,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,33,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,133,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,7,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,39,LEASED
OGDENSBURG,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
BOHEMIA,NY,ACTIVE,BUILDING,12,LEASED
NEW WINDSOR,NY,ACTIVE,BUILDING,0,LEASED
NEW WINDSOR,NY,ACTIVE,BUILDING,0,LEASED
ALBANY,NY,ACTIVE,BUILDING,10,LEASED
JAMESTOWN,NY,ACTIVE,BUILDING,0,LEASED
SARANAC,NY,ACTIVE,BUILDING,2,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,10,LEASED
PLATTSBURGH,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,16,LEASED
DEXTER,NY,ACTIVE,BUILDING,0,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,0,LEASED
ITHACA,NY,ACTIVE,BUILDING,0,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,0,LEASED
HORSEHEADS,NY,ACTIVE,BUILDING,0,LEASED
JOHNSON CITY,NY,ACTIVE,BUILDING,0,LEASED
OGDENSBURG,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
AMHERST,NY,ACTIVE,BUILDING,10,LEASED
GENESEO,NY,ACTIVE,BUILDING,1,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,99,LEASED
BUFFALO,NY,ACTIVE,BUILDING,14,LEASED
NEW WINDSOR,NY,ACTIVE,BUILDING,5,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,105,LEASED
NEW YORK-RICHMOND,NY,ACTIVE,BUILDING,1,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,8,LEASED
GOSHEN,NY,ACTIVE,BUILDING,2,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,12,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,2,LEASED
MONTICELLO,NY,ACTIVE,BUILDING,13,LEASED
NEW YORK-RICHMOND,NY,ACTIVE,BUILDING,22,LEASED
OSWEGO,NY,ACTIVE,BUILDING,45,LEASED
BUFFALO,NY,ACTIVE,BUILDING,0,LEASED
TONAWANDA,NY,ACTIVE,BUILDING,26,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,26,LEASED
GRAND ISLAND,NY,ACTIVE,BUILDING,18,LEASED
QUEENSBURY,NY,ACTIVE,BUILDING,20,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,66,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,17,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,23,LEASED
BUFFALO,NY,ACTIVE,BUILDING,116,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,6,LEASED
WATERTOWN,NY,ACTIVE,BUILDING,0,LEASED
PLATTSBURGH,NY,ACTIVE,BUILDING,2,LEASED
MASSENA,NY,ACTIVE,BUILDING,0,LEASED
CHAPPAQUA,NY,ACTIVE,BUILDING,15,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,5,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
AMHERST,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
ALBANY,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,25,LEASED
POUGHKEEPSIE,NY,ACTIVE,BUILDING,1,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,7,LEASED
FREEPORT,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,83,LEASED
ALBANY,NY,ACTIVE,BUILDING,0,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,STRUCTURE,0,LEASED
PLATTSBURGH,NY,ACTIVE,BUILDING,0,LEASED
PLATTSBURGH,NY,ACTIVE,BUILDING,50,LEASED
CHAMPLAIN,NY,ACTIVE,LAND,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,72,LEASED
SCHENECTADY,NY,ACTIVE,BUILDING,9,LEASED
BUFFALO,NY,ACTIVE,STRUCTURE,0,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
ITHACA,NY,ACTIVE,BUILDING,7,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,4,LEASED
HAUPPAUGE,NY,ACTIVE,BUILDING,1,LEASED
BINGHAMTON,NY,ACTIVE,BUILDING,10,LEASED
BUFFALO,NY,ACTIVE,BUILDING,114,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,13,LEASED
POUGHKEEPSIE,NY,ACTIVE,BUILDING,0,LEASED
HOLTSVILLE,NY,ACTIVE,BUILDING,0,LEASED
OGDENSBURG,NY,ACTIVE,BUILDING,12,LEASED
BUFFALO,NY,ACTIVE,BUILDING,6,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,20,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,2,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,18,LEASED
SCHENECTADY,NY,ACTIVE,BUILDING,50,LEASED
RIVERHEAD,NY,ACTIVE,BUILDING,0,LEASED
ALBANY,NY,ACTIVE,STRUCTURE,16,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,33,LEASED
BUFFALO,NY,ACTIVE,BUILDING,14,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,5,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-QUEENS,NY,ACTIVE,STRUCTURE,70,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
OSWEGO,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,7,LEASED
BUFFALO,NY,ACTIVE,BUILDING,16,LEASED
BETHPAGE,NY,ACTIVE,BUILDING,20,LEASED
ROCHESTER,NY,ACTIVE,BUILDING,45,LEASED
NEW YORK-KINGS,NY,ACTIVE,BUILDING,0,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,20,LEASED
MALONE,NY,ACTIVE,BUILDING,79,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,95,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,58,LEASED
NIAGARA FALLS,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,6,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,37,LEASED
NEW YORK-KINGS,NY,ACTIVE,STRUCTURE,69,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,70,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,5,LEASED
BUFFALO,NY,ACTIVE,BUILDING,34,LEASED
CHEEKTOWAGA,NY,ACTIVE,BUILDING,16,LEASED
ENDICOTT,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,STRUCTURE,20,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,5,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,2,LEASED
LATHAM,NY,ACTIVE,BUILDING,15,LEASED
ALBANY,NY,ACTIVE,BUILDING,9,LEASED
ALBANY,NY,ACTIVE,BUILDING,14,LEASED
JAMESTOWN,NY,ACTIVE,BUILDING,3,LEASED
CORNING,NY,ACTIVE,BUILDING,6,LEASED
BUFFALO,NY,ACTIVE,BUILDING,7,LEASED
SYRACUSE,NY,ACTIVE,BUILDING,1,LEASED
MASSENA,NY,ACTIVE,BUILDING,14,LEASED
BETHPAGE,NY,ACTIVE,BUILDING,250,LEASED
BREWERTON,NY,ACTIVE,BUILDING,15,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,1,LEASED
NEW WINDSOR,NY,ACTIVE,BUILDING,107,LEASED
ITHACA,NY,ACTIVE,BUILDING,60,LEASED
ALBANY,NY,ACTIVE,BUILDING,2,LEASED
HORSEHEADS,NY,ACTIVE,BUILDING,0,LEASED
LATHAM,NY,ACTIVE,BUILDING,12,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
BUFFALO,NY,ACTIVE,BUILDING,4,LEASED
NEWBURGH,NY,ACTIVE,BUILDING,45,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,1,LEASED
NEW YORK-BRONX,NY,ACTIVE,BUILDING,0,LEASED
WHITE PLAINS,NY,ACTIVE,BUILDING,0,LEASED
NEW HYDE PARK,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-QUEENS,NY,ACTIVE,BUILDING,0,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,21,LEASED
NEW YORK-MANHATTAN,NY,ACTIVE,BUILDING,0,OWNED
WASHINGTON,DC,ACTIVE,BUILDING,0,LEASED
WASHINGTON,DC,ACTIVE,BUILDING,4,LEASED
WASHINGTON,DC,ACTIVE,BUILDING,0,LEASED
WASHINGTON,DC,ACTIVE,BUILDING,0,LEASED
WASHINGTON,DC,ACTIVE,BUILDING,0,LEASED
WASHINGTON,DC,ACTIVE,BUILDING,0,LEASED
WASHINGTON,DC,ACTIVE,BUILDING,0,LEASED
WILMINGTON,DE,ACTIVE,BUILDING,20,OWNED
WILMINGTON,DE,ACTIVE,BUILDING,2,LEASED
WILMINGTON,DE,ACTIVE,BUILDING,10,LEASED
DOVER,DE,ACTIVE,BUILDING,10,LEASED
NEW CASTLE,DE,ACTIVE,BUILDING,20,LEASED
NEW CASTLE,DE,ACTIVE,BUILDING,0,LEASED
WILMINGTON,DE,ACTIVE,BUILDING,0,LEASED
